condition_type,day_type,condition_value,end_station_name,return_count,end_lat,end_lng,total_returns_in_group,return_share
cold,weekday,cold,California Ave & 23rd Pl,21,41.84910969176,-87.69513980680001,285975,7.343299239444007e-05
cold,weekday,cold,California Ave & 26th St,16,41.8436799145765,-87.69496858119965,285975,5.5948946586240056e-05
cold,weekday,cold,California Ave & 36th St,4,41.828098,-87.694684,285975,1.3987236646560014e-05
cold,weekday,cold,California Ave & 41st St,10,41.81867,-87.69441,285975,3.4968091616400035e-05
cold,weekday,cold,California Ave & 71st St,4,41.764748,-87.693121,285975,1.3987236646560014e-05
cold,weekday,cold,California Ave & Altgeld St,163,41.92669,-87.697668,285975,0.0005699798933473206
cold,weekday,cold,California Ave & Byron St,109,41.95216219326,-87.698051113,285975,0.0003811521986187604
cold,weekday,cold,California Ave & Cortez St,265,41.900363,-87.696704,285975,0.0009266544278346009
cold,weekday,cold,California Ave & Division St,205,41.903029,-87.697474,285975,0.0007168458781362007
cold,weekday,cold,California Ave & Fletcher St,136,41.93842879148,-87.698007756,285975,0.0004755660459830405
cold,weekday,cold,California Ave & Francis Pl,187,41.91849116331977,-87.69742283132375,285975,0.0006539033132266807
cold,weekday,cold,California Ave & Granville Ave,88,41.9941803,-87.6995596,285975,0.0003077192062243203
cold,weekday,cold,California Ave & Lake St,65,41.88445395657,-87.6962981368,285975,0.00022729259550660023
cold,weekday,cold,California Ave & Madison St,5,41.88098,-87.69598,285975,1.7484045808200017e-05
cold,weekday,cold,California Ave & Marquette Rd,3,41.771611,-87.693331,285975,1.049042748492001e-05
cold,weekday,cold,California Ave & Milwaukee Ave,644,41.922695,-87.697153,285975,0.0022519451000961622
cold,weekday,cold,California Ave & Montrose Ave,163,41.961068,-87.69543899999998,285975,0.0005699798933473206
cold,weekday,cold,California Ave & North Ave,197,41.910044,-87.697167,285975,0.0006888714048430807
cold,weekday,cold,California Ave & Touhy Ave,21,42.0120368,-87.7004371,285975,7.343299239444007e-05
