end_station_name,return_count_dry,return_count_rainy,return_share_dry,return_share_rainy,total_return_count,rainy_minus_dry_share,rainy_dry_share_ratio,end_lat,end_lng
Burnham Greenway & 105th St,80.0,23.0,2.5020876794075055e-05,2.068012433250403e-05,103.0,-4.340752461571024e-06,0.8265217074924263,41.7045750872071,-87.52823173999786
State St & Pershing Rd,80.0,23.0,2.5020876794075055e-05,2.068012433250403e-05,103.0,-4.340752461571024e-06,0.8265217074924263,41.82301523798,-87.62656801850001
Halsted St & 78th St,60.0,16.0,1.8765657595556293e-05,1.4386173448698456e-05,76.0,-4.379484146857838e-06,0.7666348349695024,41.75248701249013,-87.6439021574879
Wallace St & Pershing Rd,267.0,88.0,8.35071763002255e-05,7.912395396784151e-05,355.0,-4.383222332383991e-06,0.9475114590381475,41.82348386197183,-87.6408699859155
Dodge Ave & Church St,520.0,176.0,0.00016263569916148788,0.00015824790793568302,696.0,-4.387791225804856e-06,0.9730209033482162,42.048308,-87.698224
Wood St & 35th St,520.0,176.0,0.00016263569916148788,0.00015824790793568302,696.0,-4.387791225804856e-06,0.9730209033482162,41.83010465416,-87.6702983089
Fairfield Ave & Roosevelt Rd,224.0,73.0,7.005845502341016e-05,6.56369163596867e-05,297.0,-4.421538663723453e-06,0.936888765945353,41.866624,-87.694521
Kildare Ave & Archer Ave,43.0,10.0,1.3448721276815342e-05,8.991358405436535e-06,53.0,-4.457362871378807e-06,0.6685906882648626,41.80034,-87.73079
Public Rack - Minuteman Park,46.0,11.0,1.4387004156593157e-05,9.890494245980189e-06,57.0,-4.496509910612968e-06,0.6874820258824788,41.785333,-87.7626015
California Ave & 26th St,138.0,43.0,4.316101246977947e-05,3.86628411433771e-05,181.0,-4.4981713264023685e-06,0.8957840223610558,41.8436799145765,-87.69496858119965
Dearborn Pkwy & Delaware Pl,15941.0,5540.0,0.004985722462179381,0.0049812125566118404,21481.0,-4.509905567540856e-06,0.9990954360782839,41.898969,-87.629912
Damen Ave & Cortland St,7765.0,2696.0,0.0024285888538249103,0.0024240702261056897,10461.0,-4.518627719220583e-06,0.9981394027023114,41.915983,-87.67733500000001
Public Rack - Nagel & Higgins,49.0,12.0,1.5325287036370973e-05,1.0789630086523843e-05,61.0,-4.53565694984713e-06,0.7040602894175534,41.976312,-87.78764
Western Ave & Ardmore Ave,308.0,102.0,9.633037565718897e-05,9.171185573545266e-05,410.0,-4.6185199217363084e-06,0.9520559123107297,41.9867636,-87.68987959999998
Public Rack - Irving Park Rd & Leclaire Ave,58.0,15.0,1.8140135675704415e-05,1.3487037608154802e-05,73.0,-4.653098067549613e-06,0.7435056905626206,41.953418,-87.754841
Shields Ave & 28th Pl,1323.0,455.0,0.00041378274998201623,0.00040910680744736235,1778.0,-4.6759425346538865e-06,0.9886995501035091,41.842733,-87.635491
Pulaski Rd & 54th St,84.0,24.0,2.627192063377881e-05,2.1579260173047685e-05,108.0,-4.692660460731124e-06,0.8213879406046003,41.79499,-87.72361
Marmora Ave & Belmont Ave,41.0,9.0,1.2823199356963467e-05,8.092222564892881e-06,50.0,-4.7309767920705856e-06,0.6310898902626859,41.9382897,-87.7737692
Public Rack - Harold Washington Park,133.0,41.0,4.159720767014978e-05,3.6864569462289794e-05,174.0,-4.732638207859988e-06,0.88622975669079,41.801089,-87.58479100000001
Cottage Grove Ave & Oakwood Blvd,803.0,274.0,0.00025114705082052835,0.00024636322030896106,1077.0,-4.783830511567299e-06,0.9809521495550613,41.822985,-87.6071
Public Rack - Lowell Ave & Elston Ave,73.0,20.0,2.283155007459349e-05,1.798271681087307e-05,93.0,-4.848833263720419e-06,0.7876350539961863,41.96614,-87.737
Kedzie Ave & 21st St,441.0,148.0,0.00013792758332733875,0.00013307210440046072,589.0,-4.855478926878035e-06,0.9647971521946631,41.85353363213,-87.7050730318
Wentworth Ave & 107th St,53.0,13.0,1.6576330876074723e-05,1.1688765927067496e-05,66.0,-4.887564949007227e-06,0.7051657479998051,41.69989,-87.62785
Homan Ave & 26th St,79.0,22.0,2.4708115834149118e-05,1.9780988491960378e-05,101.0,-4.92712734218874e-06,0.800594753156678,41.84425,-87.70983
Monticello Ave & Lawrence Ave,709.0,241.0,0.0002217475205874902,0.00021669173757102048,950.0,-5.055783016469709e-06,0.9772003754384689,41.96834806534399,-87.71898711572858
Public Rack - Kimbark Ave & 67th St,68.0,18.0,2.1267745274963798e-05,1.6184445129785763e-05,86.0,-5.0833001451780346e-06,0.7609967076355101,41.774045,-87.594322
