end_station_name,return_count_cold,return_count_mild,return_share_cold,return_share_mild,total_return_count,cold_minus_mild_share,cold_mild_share_ratio,end_lat,end_lng
Sheffield Ave & Kingsbury St,727.0,7563.0,0.0025421802605122825,0.0026854097353648187,8290.0,-0.00014322947485253612,0.9466638481159277,41.91052201283299,-87.653106010569
Seminary Ave & Belden Ave,24.0,645.0,8.392341987936008e-05,0.00022902145700255298,669.0,-0.0001450980371231929,0.36644624713996743,41.923390000000005,-87.65599
Leavitt St & Lawrence Ave,187.0,2252.0,0.0006539033132266807,0.0007996222033639524,2439.0,-0.0001457188901372717,0.8177655556714166,41.968885,-87.684001
Clark/Newport Corral,15.0,561.0,5.245213742460005e-05,0.000199195406788267,576.0,-0.00014674326936366694,0.2633237128637284,41.9449411,-87.654611
Avondale Ave & Irving Park Rd,155.0,1951.0,0.0005420054200542005,0.0006927455234294277,2106.0,-0.00015074010337522712,0.7824022232129131,41.953393,-87.732002
Racine Ave & 15th St,161.0,2011.0,0.0005629862750240406,0.0007140498450110605,2172.0,-0.00015106356998701993,0.788441437969757,41.861267,-87.656625
Archer & Wentworth,10.0,530.0,3.4968091616400035e-05,0.00018818817397109002,540.0,-0.00015322008235469,0.18581882729222277,41.8546868,-87.6308531
Archer Ave & Wentworth Ave,34.0,768.0,0.00011889151149576012,0.00027269531624490027,802.0,-0.00015380380474914015,0.43598869663126055,41.8546868,-87.6308531
Dearborn St & Adams St Corral,8.0,515.0,2.7974473293120028e-05,0.00018286209357568182,523.0,-0.0001548876202825618,0.15298589095312323,41.87939,-87.62988
Leavitt St & Addison St,121.0,1630.0,0.0004231139085584404,0.000578767402967692,1751.0,-0.00015565349440925156,0.7310608291483728,41.946655,-87.683359
The Salt Shed,42.0,853.0,0.00014686598478888015,0.0003028764384855468,895.0,-0.00015601045369666665,0.48490566191805856,41.90689,-87.65978
LaSalle St & Washington St Corral,0.0,441.0,0.0,0.00015658676362500132,441.0,-0.00015658676362500132,6.386195043916809e-06,41.88288,-87.63251
Campbell Ave & Fullerton Ave,107.0,1497.0,0.0003741585802954804,0.0005315428234617392,1604.0,-0.00015738424316625883,0.703911067687183,41.92463247165,-87.6893070063
Southport Ave & Clark St,182.0,2241.0,0.0006364192674184806,0.0007957164110739864,2423.0,-0.00015929714365550576,0.7998068894326428,41.957081,-87.664199
Western Ave & Winnebago Ave,475.0,5127.0,0.0016609843517790017,0.0018204542791505256,5602.0,-0.00015946992737152395,0.9124010739522604,41.915519999999994,-87.687022
