end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,condition_type,condition_value,weekend_minus_weekday_share_under_weather,total_return_count_under_weather,end_lat,end_lng
California Ave & Altgeld St,163.0,80.0,0.0005699798933473206,0.0009909206891853394,cold,cold,0.0004209407958380188,243.0,41.92669,-87.697668
California Ave & Byron St,109.0,52.0,0.0003811521986187604,0.0006440984479704706,cold,cold,0.0002629462493517102,161.0,41.95216219326,-87.698051113
California Ave & Cortez St,265.0,97.0,0.0009266544278346009,0.001201491335637224,cold,cold,0.0002748369078026231,362.0,41.900363,-87.696704
California Ave & Division St,205.0,79.0,0.0007168458781362007,0.0009785341805705226,cold,cold,0.0002616883024343219,284.0,41.903029,-87.697474
California Ave & Fletcher St,136.0,60.0,0.0004755660459830405,0.0007431905168890045,cold,cold,0.000267624470905964,196.0,41.93842879148,-87.698007756
California Ave & Francis Pl,187.0,101.0,0.0006539033132266807,0.001251037370096491,cold,cold,0.0005971340568698103,288.0,41.91849116331977,-87.69742283132375
California Ave & Granville Ave,88.0,26.0,0.0003077192062243203,0.0003220492239852353,cold,cold,1.4330017760914979e-05,114.0,41.9941803,-87.6995596
California Ave & Lake St,65.0,8.0,0.00022729259550660023,9.909206891853393e-05,cold,cold,-0.0001282005265880663,73.0,41.88445395657,-87.6962981368
California Ave & Milwaukee Ave,644.0,243.0,0.0022519451000961622,0.003009921593400468,cold,cold,0.0007579764933043059,887.0,41.922695,-87.697153
California Ave & Montrose Ave,163.0,60.0,0.0005699798933473206,0.0007431905168890045,cold,cold,0.00017321062354168392,223.0,41.961068,-87.69543899999998
California Ave & North Ave,197.0,86.0,0.0006888714048430807,0.0010652397408742397,cold,cold,0.00037636833603115903,283.0,41.910044,-87.697167
Calumet Ave & 18th St,353.0,129.0,0.0012343736340589212,0.0015978596113113597,cold,cold,0.00036348597725243846,482.0,41.85761755293753,-87.61941075325012
Calumet Ave & 21st St,211.0,60.0,0.0007378267331060407,0.0007431905168890045,cold,cold,5.3637837829637524e-06,271.0,41.85418424947,-87.6191537415
Calumet Ave & 33rd St,563.0,161.0,0.001968703558003322,0.0019942278869854954,cold,cold,2.5524328982173394e-05,724.0,41.83480568947368,-87.61795095789473
Calumet Ave & 35th St,127.0,58.0,0.00044409476352828044,0.000718417499659371,cold,cold,0.00027432273613109057,185.0,41.831379,-87.618034
Calumet Ave & 51st St,57.0,8.0,0.0001993181222134802,9.909206891853393e-05,cold,cold,-0.00010022605329494627,65.0,41.80229465088,-87.6180535802
Campbell Ave & Augusta Blvd,199.0,58.0,0.0006958650231663607,0.000718417499659371,cold,cold,2.2552476493010315e-05,257.0,41.899578,-87.689497
Campbell Ave & Fullerton Ave,107.0,41.0,0.0003741585802954804,0.0005078468532074864,cold,cold,0.000133688272912006,148.0,41.92463247165,-87.6893070063
Campbell Ave & Montrose Ave,234.0,93.0,0.0008182533438237608,0.001151945301177957,cold,cold,0.00033369195735419624,327.0,41.96152399999999,-87.69117699999998
Campbell Ave & North Ave,416.0,131.0,0.0014546726112422415,0.001622632628540993,cold,cold,0.0001679600172987516,547.0,41.910535,-87.689556
Canal St & Adams St,2695.0,158.0,0.00942390069061981,0.001957068361141045,cold,cold,-0.007466832329478765,2853.0,41.879255,-87.639904
Canal St & Harrison St,327.0,41.0,0.0011434565958562811,0.0005078468532074864,cold,cold,-0.0006356097426487948,368.0,41.874255,-87.639573
Canal St & Jackson Blvd,1639.0,91.0,0.005731270215927966,0.0011271722839483235,cold,cold,-0.0046040979319796425,1730.0,41.87812864569744,-87.63996997065593
Canal St & Madison St,3877.0,306.0,0.013557129119678294,0.003790271636133923,cold,cold,-0.009766857483544372,4183.0,41.882409,-87.639767
Canal St & Monroe St,932.0,59.0,0.0032590261386484833,0.0007308040082741878,cold,cold,-0.0025282221303742957,991.0,41.8829056,-87.6397409
Canal St & Taylor St,506.0,156.0,0.0017693854357898418,0.0019322953439114116,cold,cold,0.00016290990812156984,662.0,41.870257,-87.639474
Cannon Dr & Fullerton Ave,96.0,59.0,0.00033569367951744034,0.0007308040082741878,cold,cold,0.00039511032875674747,155.0,41.9267559875,-87.6344287848
Carpenter St & Fulton St,237.0,19.0,0.0008287437713086808,0.00023534366368151808,cold,cold,-0.0005934001076271627,256.0,41.88668,-87.65315
Carpenter St & Huron St,540.0,119.0,0.0018882769472856019,0.0014739945251631922,cold,cold,-0.0004142824221224097,659.0,41.894556,-87.65344900000001
Central Park Ave & Bloomingdale Ave,95.0,27.0,0.00033219687035580033,0.000334435732600052,cold,cold,2.238862244251694e-06,122.0,41.914166,-87.716755
Central Park Ave & Elbridge Ave,88.0,57.0,0.0003077192062243203,0.0007060309910445543,cold,cold,0.000398311784820234,145.0,41.93533728263,-87.71688929350002
Central Park Ave & North Ave,64.0,25.0,0.00022379578634496022,0.00030966271537041855,cold,cold,8.586692902545832e-05,89.0,41.90965687563,-87.7166319516
Central St & Girard Ave,55.0,21.0,0.0001923245038902002,0.0002601166809111516,cold,cold,6.77921770209514e-05,76.0,42.064313,-87.686152
Central St Metra,62.0,21.0,0.00021680216802168022,0.0002601166809111516,cold,cold,4.331451288947137e-05,83.0,42.063598,-87.69873
Cherry Ave & Blackhawk St,132.0,9.0,0.00046157880933648046,0.00011147857753335067,cold,cold,-0.0003501002318031298,141.0,41.907221,-87.655618
Chicago Ave & Sheridan Rd,315.0,112.0,0.001101494885916601,0.001387288964859475,cold,cold,0.00028579407894287396,427.0,42.050491,-87.677821
Chicago Ave & Washington St,120.0,42.0,0.0004196170993968004,0.0005202333618223032,cold,cold,0.00010061626242550276,162.0,42.032562,-87.679101
Christiana Ave & Lawrence Ave,128.0,34.0,0.00044759157268992045,0.0004211412929037692,cold,cold,-2.6450279786151244e-05,162.0,41.96835449363001,-87.7118306675
Cityfront Plaza Dr & Pioneer Ct,772.0,163.0,0.0026995366727860827,0.002019000904215129,cold,cold,-0.0006805357685709537,935.0,41.890573,-87.622072
Claremont Ave & Hirsch St,165.0,45.0,0.0005769735116706006,0.0005573928876667533,cold,cold,-1.9580624003847236e-05,210.0,41.907781,-87.685854
