end_station_name,return_count_cold,return_count_mild,return_share_cold,return_share_mild,total_return_count,cold_minus_mild_share,cold_mild_share_ratio,end_lat,end_lng
Kingsbury St & Kinzie St 1,529.0,90.0,0.00144256465634783,2.2826411984779348e-05,619.0,0.0014197382443630507,63.19444610320656,41.889070000000004,-87.63835
Kingsbury St & Erie St,2089.0,16995.0,0.005696630561645778,0.004310387463125833,19084.0,0.0013862430985199445,1.321605143104587,41.8939139,-87.6417358
Dearborn St & Adams St,1345.0,9157.0,0.003667768360657526,0.0023224606060513833,10502.0,0.0013453077546061428,1.5792594164316096,41.87936394102892,-87.62977936980188
Orleans St & Merchandise Mart Plaza,2137.0,17802.0,0.005827524897193407,0.004515064290589355,19939.0,0.0013124606066040522,1.2906847458750117,41.888243,-87.63638999999999
Woodlawn Ave & 58th St,1122.0,7128.0,0.003059655093425832,0.0018078518291945243,8250.0,0.0012518032642313075,1.6924254253533677,41.789381,-87.596479
Calumet Ave & 33rd St,724.0,3076.0,0.0019743228945100734,0.0007801560362797919,3800.0,0.0011941668582302815,2.5306749829812607,41.834805689473676,-87.61795095789473
Larrabee St & Kingsbury St,1944.0,16274.0,0.005301220589678982,0.004127522540447768,18218.0,0.0011736980492312137,1.2843588989207526,41.897764,-87.642884
Milwaukee Ave & Wabansia Ave,558.0,1402.0,0.0015216466507411892,0.00035558477336289606,1960.0,0.0011660618773782932,4.279270332866379,41.912616,-87.68139430306123
Desplaines St & Jackson Blvd,1391.0,10445.0,0.0037932087655573373,0.002649131924233559,11836.0,0.0011440768413237784,1.4318684165894695,41.87811890091227,-87.64394760131836
LaSalle St & Washington St,959.0,5879.0,0.0026151597456286744,0.0014910719562057533,6838.0,0.001124087789422921,1.7538784636556766,41.88282761288388,-87.63241016237205
Larrabee St & Kingsbury St 2,448.0,407.0,0.0012216804651112056,0.00010322610753116883,855.0,0.0011184543575800368,11.834890023846942,41.89758,-87.6429
Dearborn St & Madison St,404.0,107.0,0.0011016939908592123,2.7138067581904337e-05,511.0,0.001074555923277308,40.59443042891405,41.88206,-87.62963999999998
Green St & Madison St,1896.0,16180.0,0.0051703262541313525,0.004103681621263665,18076.0,0.0010666446328676873,1.2599237639238365,41.88185932803824,-87.64926373958588
Orleans St & Hubbard St,1072.0,7441.0,0.002923306827230385,0.0018872370175415903,8513.0,0.0010360698096887947,1.5489873561568193,41.890028,-87.636618
900 W Harrison St,1018.0,6945.0,0.002776050699739302,0.001761438124825473,7963.0,0.001014612574913829,1.5760134202845977,41.874754,-87.649807
Desplaines St & Kinzie St,2011.0,17644.0,0.0054839272663808804,0.0044749912562160755,19655.0,0.001008936010164805,1.2254609510806018,41.888716036,-87.6444478533
Franklin St & Jackson Blvd,1600.0,13286.0,0.004363144518254306,0.0033696856625530934,14886.0,0.0009934588557012126,1.294822324799928,41.87770795589999,-87.6353211408
