end_station_name,return_count_cold,return_count_mild,return_share_cold,return_share_mild,total_return_count,cold_minus_mild_share,cold_mild_share_ratio,end_lat,end_lng
Manor Ave & Leland Ave,29.0,384.0,0.0003592087498296855,0.0003408876038530952,413.0,1.8321145976590316e-05,1.053745258038857,41.965875,-87.700825
Mozart St & Jackson Blvd,7.0,78.0,8.670556030371719e-05,6.924279453265996e-05,85.0,1.7462765771057232e-05,1.2521925017096027,41.8775,-87.69740000000002
Knox Ave & Montrose Ave,16.0,204.0,0.00019818413783706786,0.0001810965395469568,220.0,1.708759829011105e-05,1.0943557727667548,41.960631,-87.745359
Central Park Ave & North Ave,25.0,330.0,0.00030966271537041855,0.0002929502845612537,355.0,1.671243080916487e-05,1.0570484981289456,41.90965687563,-87.7166319516
Albany Ave & 26th St,5.0,51.0,6.193254307408371e-05,4.52741348867392e-05,56.0,1.665840818734451e-05,1.367937240364217,41.844507,-87.701655
Sacramento Ave & Pratt Blvd,5.0,51.0,6.193254307408371e-05,4.52741348867392e-05,56.0,1.665840818734451e-05,1.367937240364217,42.00404000000001,-87.70473000000001
Public Rack - Hyde Park Blvd & 55th St,10.0,121.0,0.00012386508614816742,0.00010741510433912636,131.0,1.6449981809041068e-05,1.153142602873647,41.795,-87.584113
Western Ave & Gunnison St,11.0,135.0,0.00013625159476298416,0.00011984329822960378,146.0,1.640829653338038e-05,1.1369134516683015,41.96965951655629,-87.68953755099338
Oakley Ave & Touhy Ave,13.0,164.0,0.00016102461199261764,0.00014558741414559274,177.0,1.5437197847024904e-05,1.1060331478821332,42.012342,-87.688243
Francisco Ave & Montrose Ave,20.0,262.0,0.00024773017229633485,0.00023258477137893475,282.0,1.51454009174001e-05,1.0651174868849773,41.9610471,-87.700901
Damen Ave & Lake St,60.0,821.0,0.0007431905168890045,0.0007288247988629978,881.0,1.4365718026006723e-05,1.0197107704590287,41.8849659,-87.6768354
Kilbourn Ave & Roscoe St,8.0,96.0,9.909206891853393e-05,8.52219009632738e-05,104.0,1.3870167955260134e-05,1.1627516524136792,41.942722,-87.739557
Lavergne Ave & Diversey Ave,6.0,70.0,7.431905168890045e-05,6.214096945238714e-05,76.0,1.2178082236513312e-05,1.1959719388334498,41.93128,-87.75141
Wood St & 33rd St,6.0,71.0,7.431905168890045e-05,6.302869758742125e-05,77.0,1.12903541014792e-05,1.17912753088843,41.83427,-87.6706
MLK Jr Dr & 56th St,5.0,58.0,6.193254307408371e-05,5.1488231831977923e-05,63.0,1.0444311242105789e-05,1.2028445729427106,41.79342945658,-87.6158532619
Ashland Ave & Belle Plaine Ave,57.0,784.0,0.0007060309910445543,0.0006959788578667361,841.0,1.0052133177818252e-05,1.0144431380652728,41.9557944253819,-87.66915741480612
Clark St & Schreiber Ave,69.0,952.0,0.0008546690944223552,0.0008451171845524652,1021.0,9.551909869890047e-06,1.0113024545495353,41.999245,-87.671249
Marshfield Ave & Wabansia Ave,4.0,46.0,4.9546034459266966e-05,4.0835494211568694e-05,50.0,8.710540247698272e-06,1.2133028413891278,41.91218,-87.66888
Lavergne Ave & Fullerton Ave,6.0,75.0,7.431905168890045e-05,6.657961012755766e-05,81.0,7.73944156134279e-06,1.116241673762305,41.924034,-87.751191
Meade Ave & Fullerton Ave,7.0,89.0,8.670556030371719e-05,7.900780401803509e-05,96.0,7.697756285682101e-06,1.097429095166723,41.924751,-87.778272
Public Rack - Kedzie Ave & Argyle St,9.0,117.0,0.00011147857753335067,0.00010386419179898995,126.0,7.614385734360725e-06,1.0733102746211343,41.972097000000005,-87.708572
Narragansett Ave & Wrightwood Ave,10.0,131.0,0.00012386508614816742,0.00011629238568946737,141.0,7.57270045870005e-06,1.0651172069142527,41.927290000000006,-87.78523
Aberdeen St & Randolph St,171.0,2378.0,0.002118092973133663,0.0021110175051110946,2549.0,7.0754680225682334e-06,1.003351684509367,41.88411416441933,-87.65426402007539
Sawyer Ave & Irving Park Rd,24.0,327.0,0.0002972762067556018,0.0002902871001561514,351.0,6.989106599450401e-06,1.024076448864734,41.953598557720426,-87.70931008347263
Halsted St & North Branch St,15.0,202.0,0.00018579762922225112,0.0001793210832768886,217.0,6.47654594536251e-06,1.0361168341735254,41.89939028549696,-87.64854490756989
California Ave & Lake St,8.0,107.0,9.909206891853393e-05,9.498691044864893e-05,115.0,4.105158469885003e-06,1.0432176942359868,41.88445395657,-87.6962981368
MLK Jr Dr & 63rd St,4.0,52.0,4.9546034459266966e-05,4.616186302177331e-05,56.0,3.384171437493657e-06,1.0733093923550077,41.78008063659,-87.6159428567
Woodlawn Ave & Lake Park Ave,27.0,374.0,0.000334435732600052,0.0003320103225027542,401.0,2.425410097297827e-06,1.0073052029642082,41.81409271048,-87.5970051479
Ashland Ave & Pershing Rd,6.0,81.0,7.431905168890045e-05,7.190597893776227e-05,87.0,2.4130727511381813e-06,1.0335582552178526,41.823465,-87.665577
Princeton Ave & Garfield Blvd,7.0,96.0,8.670556030371719e-05,8.52219009632738e-05,103.0,1.483659340443394e-06,1.017409162603873,41.794982,-87.633124
Christiana Ave & Lawrence Ave,34.0,473.0,0.0004211412929037692,0.0004198954078711303,507.0,1.2458850326388968e-06,1.002967124770025,41.96835449363001,-87.7118306675
California Ave & Touhy Ave,5.0,69.0,6.193254307408371e-05,6.125324131735304e-05,74.0,6.793017567306714e-07,1.011089872996896,42.0120368,-87.7004371
Stony Island Ave & 67th St,6.0,83.0,7.431905168890045e-05,7.368143520783047e-05,89.0,6.376164810699831e-07,1.0086535750246515,41.77345849948,-87.5853397391
Southport Ave & Wellington Ave,250.0,3488.0,0.0030966271537041855,0.003096395734998948,3738.0,2.314187052374246e-07,1.0000747380665473,41.93577461766458,-87.66360014677048
Wabash Ave & 87th St,4.0,56.0,4.9546034459266966e-05,4.971277556190972e-05,60.0,-1.66741102642753e-07,0.9966459778852421,41.73655301831962,-87.62264415621758
Lockwood Ave & Wrightwood Ave,10.0,140.0,0.00012386508614816742,0.00012428193890477428,150.0,-4.168527566068554e-07,0.9966459374047612,41.927766,-87.758544
Kostner Ave & Wrightwood Ave,10.0,141.0,0.00012386508614816742,0.0001251696670398084,151.0,-1.3045808916409816e-06,0.9895775829713676,41.927957,-87.735952
Kenneth Ave & Lawrence Ave,12.0,169.0,0.0001486381033778009,0.00015002605482076326,181.0,-1.387951442962358e-06,0.9907486590027342,41.967943,-87.739983
Long & Irving Park,4.0,58.0,4.9546034459266966e-05,5.1488231831977923e-05,62.0,-1.942197372710958e-06,0.9622795426614864,41.953038,-87.7621632
Public Rack - Christiana Ave & Belmont Ave,6.0,86.0,7.431905168890045e-05,7.634461961293278e-05,92.0,-2.0255679240323277e-06,0.9734684460706217,41.93917,-87.71169
Central St & Girard Ave,21.0,296.0,0.0002601166809111516,0.0002627675279700942,317.0,-2.6508470589426108e-06,0.9899118548198272,42.064313,-87.686152
Lockwood Ave & Grand Ave,4.0,59.0,4.9546034459266966e-05,5.237595996701202e-05,63.0,-2.829925507745057e-06,0.9459700312975897,41.9175941,-87.7584143
Halsted St & 51st St,5.0,73.0,6.193254307408371e-05,6.480415385748945e-05,78.0,-2.8716107834057385e-06,0.9556885430791416,41.80183164049,-87.645213904
Wallace St & 28th St,7.0,101.0,8.670556030371719e-05,8.96605416384443e-05,108.0,-2.954981334727115e-06,0.967042934119481,41.843511,-87.6419
Cumberland Ave & Catherine Ave,5.0,74.0,6.193254307408371e-05,6.569188199252355e-05,79.0,-3.7593389184398376e-06,0.9427740296297599,41.97732,-87.83674
