condition_type,day_type,condition_value,end_station_name,return_count
cold,weekday,cold,Columbus Dr & Randolph St,1218
cold,weekday,cold,Commercial Ave & 100th St,1
cold,weekday,cold,Commercial Ave & 130th St,10
cold,weekday,cold,Commercial Ave & 83rd St,9
cold,weekday,cold,Commercial Ave & 90th St,1
cold,weekday,cold,Commercial Ave & 97th St,6
cold,weekday,cold,Conservatory Dr & Lake St,29
cold,weekday,cold,Constance Ave & 95th St,3
cold,weekday,cold,Cornell Ave & Hyde Park Blvd,414
cold,weekday,cold,Cottage Grove Ave & 111th Pl,3
cold,weekday,cold,Cottage Grove Ave & 43rd St,23
cold,weekday,cold,Cottage Grove Ave & 47th St,44
cold,weekday,cold,Cottage Grove Ave & 49th St,16
cold,weekday,cold,Cottage Grove Ave & 51st St,39
cold,weekday,cold,Cottage Grove Ave & 63rd St,92
cold,weekday,cold,Cottage Grove Ave & 67th St,21
cold,weekday,cold,Cottage Grove Ave & 71st St,1
cold,weekday,cold,Cottage Grove Ave & 78th St,1
cold,weekday,cold,Cottage Grove Ave & 83rd St,13
cold,weekday,cold,Cottage Grove Ave & Oakwood Blvd,22
cold,weekday,cold,Cumberland Ave & Catherine Ave,8
cold,weekday,cold,Daley Center Plaza,2057
cold,weekday,cold,Damen Ave & 33rd St,1
cold,weekday,cold,Damen Ave & 51st St,6
cold,weekday,cold,Damen Ave & 59th St,1
cold,weekday,cold,Damen Ave & 77th St,8
cold,weekday,cold,Damen Ave & 81st St,8
cold,weekday,cold,Damen Ave & 87th St,4
cold,weekday,cold,Damen Ave & Charleston St,291
cold,weekday,cold,Damen Ave & Chicago Ave,562
cold,weekday,cold,Damen Ave & Clybourn Ave,215
cold,weekday,cold,Damen Ave & Cortland St,458
cold,weekday,cold,Damen Ave & Cullerton St,142
cold,weekday,cold,Damen Ave & Division St,476
cold,weekday,cold,Damen Ave & Evergreen Ave,39
cold,weekday,cold,Damen Ave & Foster Ave,277
cold,weekday,cold,Damen Ave & Grand Ave,165
cold,weekday,cold,Damen Ave & Lake St,286
cold,weekday,cold,Damen Ave & Leland Ave,342
cold,weekday,cold,Damen Ave & Madison St,195
cold,weekday,cold,Damen Ave & Melrose Ave,139
cold,weekday,cold,Damen Ave & Ohio St,151
cold,weekday,cold,Damen Ave & Pershing Rd,17
cold,weekday,cold,Damen Ave & Pierce Ave,759
cold,weekday,cold,Damen Ave & St Paul Ave,81
cold,weekday,cold,Damen Ave & Sunnyside Ave,222
cold,weekday,cold,Damen Ave & Thomas St (Augusta Blvd),392
cold,weekday,cold,Damen Ave & Wabansia Ave,213
cold,weekday,cold,Damen Ave & Wellington Ave,177
cold,weekday,cold,Damen Ave & Wicker Park Ave,96
cold,weekday,cold,Damen Ave/Coulter St,31
cold,weekday,cold,Dan Ryan Woods & 83rd St,1
cold,weekday,cold,Dauphin Ave & 103rd St,12
cold,weekday,cold,Dauphin Ave & 87th St,4
cold,weekday,cold,Dayton St & North Ave,678
cold,weekday,cold,Dearborn Pkwy & Delaware Pl,1402
cold,weekday,cold,Dearborn St & Adams St,1219
cold,weekday,cold,Dearborn St & Adams St Corral,8
cold,weekday,cold,Dearborn St & Division St,254
cold,weekday,cold,Dearborn St & Erie St,1563
cold,weekday,cold,Dearborn St & Madison St,380
cold,weekday,cold,Dearborn St & Maple St,340
cold,weekday,cold,Dearborn St & Monroe St,1272
cold,weekday,cold,Dearborn St & Van Buren St,482
cold,weekday,cold,Dearborn St & Washington St,114
cold,weekday,cold,Delano Ct & Roosevelt Rd,322
cold,weekday,cold,Desplaines St & Jackson Blvd,1113
cold,weekday,cold,Desplaines St & Kinzie St,1513
cold,weekday,cold,Desplaines St & Randolph St,542
cold,weekday,cold,Dodge Ave & Church St,56
cold,weekday,cold,Dodge Ave & Main St,39
cold,weekday,cold,Dodge Ave & Mulford St,32
cold,weekday,cold,Dorchester Ave & 49th St,87
cold,weekday,cold,Dorchester Ave & 53rd St,144
cold,weekday,cold,Dorchester Ave & 63rd St,74
cold,weekday,cold,Doty Ave & 111th St,2
cold,weekday,cold,Drake Ave & Addison St,131
cold,weekday,cold,Drake Ave & Montrose Ave,54
cold,weekday,cold,Drexel Ave & 60th St,469
cold,weekday,cold,DuSable Lake Shore Dr & Belmont Ave,475
cold,weekday,cold,DuSable Lake Shore Dr & Diversey Pkwy,326
cold,weekday,cold,DuSable Lake Shore Dr & Monroe St,376
cold,weekday,cold,DuSable Lake Shore Dr & North Blvd,329
cold,weekday,cold,DuSable Lake Shore Dr & Wellington Ave,369
cold,weekday,cold,DuSable Museum,40
cold,weekday,cold,Dusable Harbor,243
cold,weekday,cold,East End Ave & 87th St,2
cold,weekday,cold,Eastlake Ter & Howard St,62
cold,weekday,cold,Eberhart Ave & 61st St,6
cold,weekday,cold,Eberhart Ave & 91st St,3
cold,weekday,cold,Eckhart Park,402
cold,weekday,cold,Eddy/Seminary Corral,6
cold,weekday,cold,Edgebrook Metra,9
cold,weekday,cold,Eggleston Ave & 115th St,6
cold,weekday,cold,Eggleston Ave & 69th St,4
cold,weekday,cold,Eggleston Ave & 92nd St,6
cold,weekday,cold,Elizabeth St & 47th St,3
cold,weekday,cold,Elizabeth St & 92nd St,1
cold,weekday,cold,Elizabeth St & Fulton St,728
cold,weekday,cold,Elizabeth St & Randolph St,884
cold,weekday,cold,Ellis Ave & 53rd St,577
cold,weekday,cold,Ellis Ave & 55th St,1744
cold,weekday,cold,Ellis Ave & 58th St,1138
cold,weekday,cold,Ellis Ave & 60th St,2077
cold,weekday,cold,Ellis Ave & 83rd St,3
cold,weekday,cold,Elmwood Ave & Austin St,37
cold,weekday,cold,Elston Ave & Carmen Ave,20
cold,weekday,cold,Elston Ave & Cortland St,922
cold,weekday,cold,Elston Ave & George St,60
cold,weekday,cold,Elston Ave & Henderson St,35
cold,weekday,cold,Elston Ave & Wabansia Ave,135
cold,weekday,cold,Emerald Ave & 28th St,115
cold,weekday,cold,Emerald Ave & 31st St,257
cold,weekday,cold,Evans Ave & 75th St,7
cold,weekday,cold,Evanston Civic Center,106
cold,weekday,cold,Ewing Ave & 106th St,6
cold,weekday,cold,Ewing Ave & 97th St,2
cold,weekday,cold,Ewing Ave & 98th St,1
cold,weekday,cold,Ewing Ave & Burnham Greenway,10
cold,weekday,cold,Exchange Ave & 79th St,8
cold,weekday,cold,Fairbanks Ct & Grand Ave,1052
cold,weekday,cold,Fairbanks St & Superior St,691
cold,weekday,cold,Fairfield Ave & 44th St,26
cold,weekday,cold,Fairfield Ave & Pratt Blvd,18
cold,weekday,cold,Fairfield Ave & Roosevelt Rd,13
cold,weekday,cold,Farragut Ave & Central Ave,12
cold,weekday,cold,Federal St & Polk St,1307
cold,weekday,cold,Field Blvd & South Water St,705
cold,weekday,cold,Field Museum,133
cold,weekday,cold,Financial Pl & Ida B Wells Dr,887
cold,weekday,cold,Fort Dearborn Dr & 31st St,14
cold,weekday,cold,Fort Dearborn Dr & 31st St*,43
cold,weekday,cold,Francisco Ave & 47th St,7
cold,weekday,cold,Francisco Ave & 85th St,8
cold,weekday,cold,Francisco Ave & Bloomingdale Ave,35
cold,weekday,cold,Francisco Ave & Chicago Ave,124
cold,weekday,cold,Francisco Ave & Foster Ave,143
cold,weekday,cold,Francisco Ave & Hollywood Ave,5
cold,weekday,cold,Francisco Ave & Montrose Ave,69
cold,weekday,cold,Franklin St & Adams St,442
cold,weekday,cold,Franklin St & Adams St (Temp),734
cold,weekday,cold,Franklin St & Adams St Corral,63
cold,weekday,cold,Franklin St & Chicago Ave,780
cold,weekday,cold,Franklin St & Chicago Ave*,117
cold,weekday,cold,Franklin St & Illinois St,1058
cold,weekday,cold,Franklin St & Jackson Blvd,1363
cold,weekday,cold,Franklin St & Lake St,1538
cold,weekday,cold,Franklin St & Madison St,107
cold,weekday,cold,Franklin St & Monroe St,1830
cold,weekday,cold,Franklin St & Washington St,322
cold,weekday,cold,Fulton Market,324
cold,weekday,cold,Glenwood Ave & Morse Ave,285
cold,weekday,cold,Glenwood Ave & Touhy Ave,105
cold,weekday,cold,Grace St & Central Ave,14
cold,weekday,cold,Grace St & Cicero Ave,11
cold,weekday,cold,Grace/Sheffield Corral,3
cold,weekday,cold,Granville Ave & Clark St,33
cold,weekday,cold,Granville Ave & Pulaski Rd,13
cold,weekday,cold,Green St & 86th St,1
cold,weekday,cold,Green St & Chicago Ave,146
cold,weekday,cold,Green St & Lake St,152
cold,weekday,cold,Green St & Madison St,1486
cold,weekday,cold,Green St & Randolph St*,508
cold,weekday,cold,Green St & Washington Blvd,475
cold,weekday,cold,Greenview Ave & Diversey Pkwy,270
cold,weekday,cold,Greenview Ave & Fullerton Ave,451
cold,weekday,cold,Greenview Ave & Jarvis Ave,208
cold,weekday,cold,Greenwood Ave & 47th St,129
cold,weekday,cold,Greenwood Ave & 79th St,4
cold,weekday,cold,Greenwood Ave & 97th St,3
cold,weekday,cold,Griffin Museum of Science and Industry,134
cold,weekday,cold,Hale Ave & 107th St,5
cold,weekday,cold,Halsted St & 104th St,10
cold,weekday,cold,Halsted St & 111th St,4
cold,weekday,cold,Halsted St & 119th St,1
cold,weekday,cold,Halsted St & 123rd St,1
cold,weekday,cold,Halsted St & 18th St,259
cold,weekday,cold,Halsted St & 21st St,171
cold,weekday,cold,Halsted St & 35th St,145
cold,weekday,cold,Halsted St & 37th St,52
cold,weekday,cold,Halsted St & 47th Pl,15
cold,weekday,cold,Halsted St & 51st St,27
cold,weekday,cold,Halsted St & 56th St,3
cold,weekday,cold,Halsted St & 59th St,3
cold,weekday,cold,Halsted St & 63rd St,9
cold,weekday,cold,Halsted St & 69th St,29
cold,weekday,cold,Halsted St & 73rd St,12
cold,weekday,cold,Halsted St & 78th St,5
cold,weekday,cold,Halsted St & 83rd St,2
cold,weekday,cold,Halsted St & 93rd St,3
cold,weekday,cold,Halsted St & 96th St,23
cold,weekday,cold,Halsted St & Archer Ave,162
cold,weekday,cold,Halsted St & Armitage Ave,184
cold,weekday,cold,Halsted St & Belden St,106
cold,weekday,cold,Halsted St & Clybourn Ave,1137
cold,weekday,cold,Halsted St & Court Pl,33
cold,weekday,cold,Halsted St & Dickens Ave,471
cold,weekday,cold,Halsted St & Dickens Ave*,66
cold,weekday,cold,Halsted St & Fulton St,943
cold,weekday,cold,Halsted St & Lake St,80
cold,weekday,cold,Halsted St & Maxwell St,629
cold,weekday,cold,Halsted St & Melrose St,96
cold,weekday,cold,Halsted St & North Branch St,78
cold,weekday,cold,Halsted St & Polk St,1100
cold,weekday,cold,Halsted St & Roosevelt Rd,576
cold,weekday,cold,Halsted St & Roscoe St,799
cold,weekday,cold,Halsted St & Willow St,493
cold,weekday,cold,Halsted St & Wrightwood Ave,729
cold,weekday,cold,Hamilton Park,3
cold,weekday,cold,Hamlin Ave & 62nd Pl,2
cold,weekday,cold,Hamlin Ave & Grand Ave,11
cold,weekday,cold,Hampden Ct & Diversey Ave,120
cold,weekday,cold,Hampden Ct & Diversey Pkwy,177
cold,weekday,cold,Harding Ave & 26th St,5
cold,weekday,cold,Harding Ave & 31st St,2
cold,weekday,cold,Harding Ave & Chicago Ave,36
cold,weekday,cold,Harding Ave & Division St,8
cold,weekday,cold,Harlem Ave & Bloomingdale Ave,4
cold,weekday,cold,Harlem Ave & Irving Park Rd,9
cold,weekday,cold,Harper Ave & 55th St,146
cold,weekday,cold,Harper Ave & 59th St,209
cold,weekday,cold,Hastings St Depot LWS,11
cold,weekday,cold,Hegewisch Metra Station,5
cold,weekday,cold,Hermitage Ave & Polk St,641
cold,weekday,cold,Higgins Ave & Austin Ave,10
cold,weekday,cold,Homan Ave & 26th St,3
cold,weekday,cold,Homan Ave & 65th St,1
cold,weekday,cold,Homan Ave & 77th St,3
cold,weekday,cold,Homan Ave & Arthington Ave,3
cold,weekday,cold,Homan Ave & Fillmore St,2
cold,weekday,cold,Honore St & Division St,595
cold,weekday,cold,Houston Ave & 92nd St,1
cold,weekday,cold,Hoyne Ave & 34th St,10
cold,weekday,cold,Hoyne Ave & 47th St,45
cold,weekday,cold,Hoyne Ave & Balmoral Ave,161
cold,weekday,cold,Hubbard St Depot,10
cold,weekday,cold,Hudson Ave & Armitage Ave,117
cold,weekday,cold,Humboldt Blvd & Armitage Ave,185
cold,weekday,cold,Hyacinth Ave & Milwaukee Ave,11
cold,weekday,cold,Indiana Ave & 103rd St,5
cold,weekday,cold,Indiana Ave & 26th St,137
cold,weekday,cold,Indiana Ave & 31st St,155
cold,weekday,cold,Indiana Ave & 40th St,10
cold,weekday,cold,Indiana Ave & Roosevelt Rd,1143
cold,weekday,cold,Jefferson St & Monroe St,562
cold,weekday,cold,Jeffery Blvd & 67th St,25
cold,weekday,cold,Jeffery Blvd & 71st St,17
cold,weekday,cold,Jeffery Blvd & 76th St,5
cold,weekday,cold,Karlov Ave & Armitage Ave,122
cold,weekday,cold,Karlov Ave & Fillmore St,1
cold,weekday,cold,Karlov Ave & Lawrence Ave,21
cold,weekday,cold,Karlov Ave & Madison St,1
cold,weekday,cold,Kedvale Ave & Peterson Ave,6
cold,weekday,cold,Kedzie Ave & 104th St,1
cold,weekday,cold,Kedzie Ave & 110th St,1
cold,weekday,cold,Kedzie Ave & 21st St,56
cold,weekday,cold,Kedzie Ave & 24th St,11
cold,weekday,cold,Kedzie Ave & 38th Pl,5
cold,weekday,cold,Kedzie Ave & 45th St,4
cold,weekday,cold,Kedzie Ave & 48th Pl,55
cold,weekday,cold,Kedzie Ave & 52nd St,2
cold,weekday,cold,Kedzie Ave & 54th Pl,7
cold,weekday,cold,Kedzie Ave & 57th St,31
cold,weekday,cold,Kedzie Ave & 60th St,4
cold,weekday,cold,Kedzie Ave & 66th Pl,2
cold,weekday,cold,Kedzie Ave & 73rd St,3
cold,weekday,cold,Kedzie Ave & 83rd St,2
cold,weekday,cold,Kedzie Ave & Archer Ave,12
cold,weekday,cold,Kedzie Ave & Armitage Ave,75
cold,weekday,cold,Kedzie Ave & Bryn Mawr Ave,55
cold,weekday,cold,Kedzie Ave & Chicago Ave,37
cold,weekday,cold,Kedzie Ave & Foster Ave,62
cold,weekday,cold,Kedzie Ave & George St,52
cold,weekday,cold,Kedzie Ave & Harrison St,3
cold,weekday,cold,Kedzie Ave & Jackson Blvd,3
cold,weekday,cold,Kedzie Ave & Lake St,23
cold,weekday,cold,Kedzie Ave & Leland Ave,147
cold,weekday,cold,Kedzie Ave & Milwaukee Ave,600
cold,weekday,cold,Kedzie Ave & Palmer Ct,240
cold,weekday,cold,Kedzie Ave & Redfield Dr,5
cold,weekday,cold,Kedzie Ave & Roosevelt Rd,7
cold,weekday,cold,Keeler Ave & Carmen Ave,5
cold,weekday,cold,Keeler Ave & Roosevelt Rd,3
cold,weekday,cold,Kenmore Ave & School St,34
cold,weekday,cold,Kenneth Ave & 50th St,1
cold,weekday,cold,Kenneth Ave & Lawrence Ave,31
cold,weekday,cold,Kenosha Ave & Wellington Ave,12
cold,weekday,cold,Kenton Ave & Madison St,1
cold,weekday,cold,Kenwood Ave & 57th St,86
cold,weekday,cold,Keystone Ave & Fullerton Ave,84
cold,weekday,cold,Keystone Ave & Montrose Ave,75
cold,weekday,cold,Kilbourn Ave & 49th St,9
cold,weekday,cold,Kilbourn Ave & Belden Ave,59
cold,weekday,cold,Kilbourn Ave & Diversey Ave,27
cold,weekday,cold,Kilbourn Ave & Irving Park Rd,23
cold,weekday,cold,Kilbourn Ave & Milwaukee Ave,37
cold,weekday,cold,Kilbourn Ave & Roscoe St,13
cold,weekday,cold,Kildare & Cermak,1
cold,weekday,cold,Kildare Ave & 26th St,4
cold,weekday,cold,Kildare Ave & 47th St,2
cold,weekday,cold,Kildare Ave & 55th St,5
cold,weekday,cold,Kildare Ave & 85th St (Kostner Ave & 87th St TEMPORARY),1
cold,weekday,cold,Kildare Ave & Archer Ave,8
cold,weekday,cold,Kildare Ave & Chicago Ave,1
cold,weekday,cold,Kildare Ave & Division St,19
cold,weekday,cold,Kildare Ave & Montrose Ave,40
cold,weekday,cold,Kildare Ave & North Ave,13
cold,weekday,cold,Kilpatrick Ave & Grand Ave,26
cold,weekday,cold,Kilpatrick Ave & Parker Ave,6
cold,weekday,cold,Kimball Ave & Belmont Ave,210
cold,weekday,cold,Kimbark Ave & 53rd St,1056
cold,weekday,cold,Kingsbury St & Erie St,1674
cold,weekday,cold,Kingsbury St & Kinzie St,3474
cold,weekday,cold,Kingsbury St & Kinzie St 1,446
