end_station_name,return_count_dry,return_count_rainy,return_share_dry,return_share_rainy,total_return_count,rainy_minus_dry_share,rainy_dry_share_ratio,end_lat,end_lng
Kedzie Ave & Lake St,268.0,68.0,0.00011469769667338161,8.880437962305153e-05,336.0,-2.5893317050330086e-05,0.7742492478003963,41.88460328501,-87.70630374359999
Dorchester Ave & 63rd St,491.0,141.0,0.0002101364517411581,0.00018413849304191568,632.0,-2.599795869924243e-05,0.8762811746129574,41.78040564570001,-87.5914159893
Sedgwick St & Schiller St,2130.0,678.0,0.0009115899026653091,0.0008854319027121903,2808.0,-2.6157999953118857e-05,0.9713051107940656,41.907626,-87.638566
Dearborn St & Adams St Corral,409.0,114.0,0.00017504238037094433,0.00014887793054452756,523.0,-2.6164449826416772e-05,0.850525910942932,41.87939,-87.62988
Granville Ave & Clark St,101.0,13.0,4.322562449258038e-05,1.6977307869112792e-05,114.0,-2.624831662346759e-05,0.3927743160243064,41.9944,-87.66983
Waveland/Wilton Corral,77.0,5.0,3.295418896959099e-05,6.529733795812612e-06,82.0,-2.642445517377838e-05,0.1981701213074144,41.9489031,-87.65314100000002
Michigan Ave & Lake St,10864.0,3540.0,0.004649536480073201,0.004623051527435329,14404.0,-2.6484952637871595e-05,0.9943037446732326,41.886022,-87.624398
Elston Ave & George St,847.0,257.0,0.00036249607866550084,0.00033562831710476826,1104.0,-2.686776156073258e-05,0.925881439763201,41.934003,-87.690823
Kilbourn Ave & Irving Park Rd,369.0,100.0,0.00015792332116596202,0.00013059467591625224,469.0,-2.7328645249709776e-05,0.8269510038229626,41.953733,-87.740569
Damen Ave & Evergreen Ave,159.0,31.0,6.804826033980476e-05,4.0484349534038195e-05,190.0,-2.756391080576657e-05,0.5949418014519796,41.90605,-87.67758
Wood St & Taylor St (Temp),3400.0,1093.0,0.0014551200324234982,0.001427399807764637,4493.0,-2.7720224658861134e-05,0.9809498838645104,41.869265218438194,-87.67373085021973
Addison/Wilton Corral,306.0,79.0,0.00013096080291811484,0.00010316979397383927,385.0,-2.779100894427557e-05,0.7877930180783158,41.9473827,-87.6531716
Shields Ave & 28th Pl,993.0,304.0,0.0004249806447636864,0.00039700781478540684,1297.0,-2.797282997827954e-05,0.9341787337807637,41.842733,-87.635491
Dorchester Ave & 53rd St,200.0,44.0,8.559529602491165e-05,5.746165740315099e-05,244.0,-2.813363862176066e-05,0.6713217752603133,41.79943,-87.59227
Francisco Ave & Montrose Ave,664.0,196.0,0.0002841763828027067,0.0002559655647958544,860.0,-2.8210818006852334e-05,0.9007281377264355,41.9610471,-87.700901
Central St & Girard Ave,473.0,133.0,0.00020243287509891608,0.00017369091896861548,606.0,-2.87419561303006e-05,0.8580180509993384,42.064313,-87.686152
Wentworth Ave & Cermak Rd*,3104.0,995.0,0.001328438994306629,0.0012994170253667098,4099.0,-2.9021968939919136e-05,0.978153345981527,41.853214418519656,-87.63187229633331
Kenosha Ave & Wellington Ave,190.0,40.0,8.131553122366607e-05,5.22378703665009e-05,230.0,-2.9077660857165167e-05,0.6424139050252243,41.934457,-87.733795
Kenmore Ave & School St,117.0,16.0,5.007324817457332e-05,2.089514814660036e-05,133.0,-2.917810002797296e-05,0.4173032827921917,41.94166,-87.6556
