start_station_id,start_station_name,weekday_count,weekend_count,total_start_count,start_lat,start_lng,weekday_system_share,weekend_system_share,share_difference_per_10k,weekend_trip_share_at_station
CHI00274,Sheffield Ave & Wellington Ave,6550,2891,9441,41.93625418120567,-87.65266194913359,0.0020850788573640528,0.0023674715469391566,2.8239268957510384,0.3062175616989726
CHI00492,Sheridan Rd & Lawrence Ave,2412,1275,3687,41.96951597677037,-87.65469201656288,0.0007678183517499383,0.001044111457055491,2.7629310530555276,0.34580960130187144
CHI00222,Fort Dearborn Dr & 31st St,676,600,1276,41.838554771934355,-87.60822152614368,0.0002151928713859694,0.0004913465680261135,2.7615369664014406,0.4702194357366771
CHI00608,Clark St & Bryn Mawr Ave,3594,1734,5328,41.983592841043645,-87.66915428330033,0.0011440875440254055,0.0014199915815954678,2.7590403757006228,0.32545045045045046
CHI00487,Sedgwick St & Webster Ave,5892,2624,8516,41.92216861544793,-87.63888967948141,0.0018756159736777098,0.002148822324167536,2.732063504898262,0.30812588069516206
13127,Halsted St & Roscoe St,2087,1139,3226,41.94367056057404,-87.64894619162327,0.0006643602405066837,0.0009327395683029053,2.683793277962216,0.3530688158710477
CHI00337,Broadway & Ridge Ave,2329,1233,3562,41.98404101387524,-87.66027806776302,0.000741396741801661,0.001009717197293663,2.6832045549200205,0.34615384615384615
CHI00481,Southport Ave & Irving Park Rd,3466,1670,5136,41.954176036601716,-87.66435565684046,0.0011033409648280622,0.0013675812810060156,2.642403161779534,0.3251557632398754
CHI00329,Wood St & Milwaukee Ave,2838,1422,4260,41.90765576557449,-87.67254769072228,0.0009034280606410965,0.0011644913662218889,2.610633055807924,0.33380281690140845
CHI00315,63rd St Beach,473,502,975,41.78091140778989,-87.57632341277821,0.00015057134344018274,0.0004110932952485149,2.605219518083321,0.5148717948717949
CHI00339,Southport Ave & Wrightwood Ave,4179,1930,6109,41.928755173879715,-87.66390771529728,0.0013303121442632636,0.0015804981271506648,2.501859828874012,0.315927320347029
CHI00605,Fairbanks Ct & Grand Ave,8550,3623,12173,41.89184625349794,-87.62058147257493,0.0027217441573225425,0.002966914359931015,2.4517020260847238,0.2976258933705742
KA1503000074,Griffin Museum of Science and Industry,876,639,1515,41.791729136119095,-87.58394564257176,0.00027885940138181836,0.0005232840949478108,2.444246935659925,0.42178217821782177
CHI00342,Michigan Ave & 14th St,5536,2450,7986,41.864060352921676,-87.62372699383086,0.0017622895502850987,0.002006331819439963,2.4404226915486427,0.30678687703481095
TA1307000041,DuSable Lake Shore Dr & Wellington Ave,1976,1062,3038,41.93669045053069,-87.63682772139802,0.0006290253163589876,0.0008696834254062208,2.406581090472332,0.3495720868992758
13325,Broadway & Waveland Ave,3296,1571,4867,41.94907360518965,-87.6486332852448,0.0010492244143315906,0.001286509097281707,2.3728468295011633,0.3227861105403739
CHI00636,Humboldt Blvd & Armitage Ave,2289,1175,3464,41.91751339916918,-87.70180947717783,0.0007286634358024912,0.0009622203623844721,2.3355692658198097,0.33920323325635104
TA1307000142,Clark St & Drummond Pl,2483,1249,3732,41.93124827223366,-87.64433479705437,0.0007904199698984646,0.0010228197724410262,2.323998025425616,0.3346730975348339
13235,Southport Ave & Waveland Ave,2911,1405,4316,41.94822430434867,-87.6640700081762,0.0009266663440895814,0.0011505698801278156,2.239035360382342,0.32553290083410563
CHI00612,Delano Ct & Roosevelt Rd,3269,1538,4807,41.86749065222147,-87.63219024013011,0.001040629432782151,0.0012594850360402707,2.1885560325811966,0.3199500728104847
13277,Broadway & Belmont Ave,2232,1134,3366,41.94010528856919,-87.64545297666703,0.0007105184747536742,0.0009286450135693544,2.181265388156801,0.33689839572192515
CHI00435,Western Ave & Leland Ave,2435,1210,3645,41.96572109748516,-87.68848140357441,0.0007751400026994609,0.0009908822455193288,2.1574224281986796,0.3319615912208505
CHI02122,Clark St & Eddy St,1334,782,2116,41.946283514735725,-87.65626600265682,0.0004246557550723124,0.0006403883603273679,2.1573260525505544,0.3695652173913043
CHI00425,Lincoln Ave & Sunnyside Ave,2712,1316,4028,41.96300403384321,-87.68478166471117,0.0008633181467437117,0.0010776868058706088,2.143686591268971,0.32671300893743793
CHI00610,Talman Ave & Addison St,1467,832,2299,41.94663603072266,-87.69461498910894,0.000466993997519552,0.0006813339076628773,2.1433991014332525,0.3618964767290126
CHI00588,Streeter Dr/Grand Ave,1339,775,2114,41.89240068763123,-87.61238726219949,0.0004262474183222087,0.0006346559837003966,2.084085653781879,0.3666035950804163
13278,Broadway & Cornelia Ave,3211,1500,4711,41.945528460669806,-87.64643935551369,0.0010221661390833548,0.0012283664200652836,2.062002809819288,0.3184037359371683
CHI00272,Broadway & Wilson Ave,4711,2082,6793,41.965220403598146,-87.65814417993256,0.0014996651140522217,0.0017049725910506135,2.053074769983918,0.30649197703518327
CHI00408,Ashland Ave & Wellington Ave,2810,1339,4149,41.9360830184193,-87.6698083465832,0.0008945147464416777,0.0010965217576449431,2.0200701120326547,0.32272836828151363
13193,Larrabee St & Webster Ave,2693,1293,3986,41.921822257259144,-87.6441382216058,0.000857269826394106,0.0010588518540962744,2.015820277021683,0.3243853487205218
