end_station_name,end_lat,end_lng,return_count_weekday,return_count_weekend,total_return_count,weekday_station_share,weekend_station_share,total_return_share,weekend_minus_weekday_share_normalized,weekday_minus_weekend_share_normalized,share_difference_orientation
Field Blvd & South Water St,41.88634906269,-87.6175165471,8408.0,4106.0,12514.0,0.002715969305153752,0.003408838072719665,0.0029100430669630815,0.0006928687675659129,-0.0006928687675659129,weekend_oriented
Racine Ave & Belmont Ave,41.939743,-87.658865,6671.0,3415.0,10086.0,0.00215488002315422,0.0028351636673983574,0.002345428669761039,0.0006802836442441375,-0.0006802836442441375,weekend_oriented
Broadway & Sheridan Rd,41.952833,-87.649993,9007.0,4286.0,13293.0,0.0029094595066032165,0.0035582756891564746,0.0030911940617820233,0.0006488161825532581,-0.0006488161825532581,weekend_oriented
Clark St & Drummond Pl,41.931248,-87.644336,10279.0,4764.0,15043.0,0.0033203435403990744,0.003955115581694224,0.0034981443068823424,0.00063477204129515,-0.00063477204129515,weekend_oriented
Calumet Ave & 18th St,41.85761755293753,-87.61941075325012,5310.0,2817.0,8127.0,0.0017152470278742177,0.002338698697236068,0.0018898769382458816,0.0006234516693618504,-0.0006234516693618504,weekend_oriented
Sheridan Rd & Argyle St,41.97328682025978,-87.65475958585739,4837.0,2611.0,7448.0,0.0015624576033573619,0.002167675647313942,0.0017319802431469578,0.0006052180439565802,-0.0006052180439565802,weekend_oriented
Sheridan Rd & Montrose Ave,41.96167,-87.65464,8226.0,3910.0,12136.0,0.002657179294028873,0.0032461171125995835,0.0028221418140214126,0.0005889378185707107,-0.0005889378185707107,weekend_oriented
McCormick Place,41.8513751729,-87.6188346489,3866.0,2207.0,6073.0,0.0012488032033449578,0.001832271219311325,0.0014122336219967071,0.0005834680159663673,-0.0005834680159663673,weekend_oriented
McClurg Ct & Ohio St,41.892592119709725,-87.61728912591934,15303.0,6651.0,21954.0,0.0049432062650770535,0.00552171992734011,0.005105248960532802,0.0005785136622630561,-0.0005785136622630561,weekend_oriented
Rush St & Cedar St,41.90230870122,-87.627690528,9762.0,4462.0,14224.0,0.0031533411461597202,0.0037043924696724658,0.003307691592175393,0.0005510513235127456,-0.0005510513235127456,weekend_oriented
