end_station_name,end_lat,end_lng,return_count_weekday,return_count_weekend,total_return_count,weekday_station_share,weekend_station_share,total_return_share,weekend_minus_weekday_share_normalized,weekday_minus_weekend_share_normalized,share_difference_orientation
Broadway & Granville Ave,41.9947796884,-87.6602845349,4304.0,2335.0,6639.0,0.0013902868564916447,0.0019385379687775007,0.0015438529584120104,0.000548251112285856,-0.000548251112285856,weekend_oriented
Broadway & Thorndale Ave,41.98974251144,-87.6601406209,4128.0,2264.0,6392.0,0.0013334349776016519,0.0018795931311829813,0.0014864148381035654,0.0005461581535813294,-0.0005461581535813294,weekend_oriented
Lincoln Ave & Diversey Pkwy,41.93222500062526,-87.65861701501092,6794.0,3293.0,10087.0,0.0021946117339693852,0.002733878171813409,0.002345661212758239,0.0005392664378440237,-0.0005392664378440237,weekend_oriented
Sheffield Ave & Waveland Ave,41.949399,-87.654529,9766.0,4422.0,14188.0,0.003154633234316311,0.0036711841104642862,0.0032993200442761866,0.0005165508761479751,-0.0005165508761479751,weekend_oriented
Damen Ave & Chicago Ave,41.89569719911461,-87.67713042376089,6959.0,3309.0,10268.0,0.0022479103704287537,0.0027471615154966806,0.002387751495251472,0.0004992511450679269,-0.0004992511450679269,weekend_oriented
Burling St & Diversey Pkwy,41.93314,-87.64776,7404.0,3481.0,10885.0,0.002391655177849474,0.0028899574600918542,0.0025312305245239843,0.00049830228224238,-0.00049830228224238,weekend_oriented
Damen Ave & Wicker Park Ave,41.90881520000001,-87.6771937,3523.0,1958.0,5481.0,0.0011380066439173012,0.0016255491832404053,0.0012745681676541993,0.00048754253932310407,-0.00048754253932310407,weekend_oriented
Wells St & Evergreen Ave,41.90672457611039,-87.63482999967887,9741.0,4372.0,14113.0,0.0031465576833376186,0.003629673661454061,0.003281879319486173,0.00048311597811644255,-0.00048311597811644255,weekend_oriented
Broadway & Belmont Ave,41.94010600392988,-87.6454510048789,9289.0,4188.0,13477.0,0.003000551721642864,0.003476915209096434,0.003133981973266857,0.00047636348745356974,-0.00047636348745356974,weekend_oriented
Sheridan Rd & Buena Ave,41.95849095778336,-87.65498859932366,6189.0,2978.0,9167.0,0.0019991834002850346,0.0024723623430489925,0.0021317216553340713,0.0004731789427639579,-0.0004731789427639579,weekend_oriented
Larrabee St & Armitage Ave,41.918084,-87.643749,5110.0,2547.0,7657.0,0.0016506426200446804,0.0021145422725808542,0.001780581729561796,0.0004638996525361738,-0.0004638996525361738,weekend_oriented
Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,9249.0,4145.0,13394.0,0.0029876308400769566,0.0034412162229476404,0.003114680904499242,0.0004535853828706838,-0.0004535853828706838,weekend_oriented
Michigan Ave & Jackson Blvd,41.87834559823754,-87.62415080552178,7903.0,3615.0,11518.0,0.0025528431753841702,0.003001205463439257,0.0026784302417516997,0.0004483622880550866,-0.0004483622880550866,weekend_oriented
Sheffield Ave & Addison St,41.947017,-87.654418,4903.0,2436.0,7339.0,0.0015837770579411091,0.002022389075778155,0.001706633056452138,0.00043861201783704576,-0.00043861201783704576,weekend_oriented
Wood St & Milwaukee Ave,41.90746150493701,-87.67240429168085,5965.0,2846.0,8811.0,0.0019268264635159528,0.002362774757661999,0.0020489363483308064,0.0004359482941460461,-0.0004359482941460461,weekend_oriented
Milwaukee Ave & Fullerton Ave,41.924690375095686,-87.70058124521562,2463.0,1456.0,3919.0,0.000795603282420753,0.0012087842751777478,0.0009113360060275145,0.00041318099275699485,-0.00041318099275699485,weekend_oriented
Clark St & Leland Ave,41.96708784150231,-87.66729089029786,5469.0,2616.0,8085.0,0.0017666075320987,0.0021718266922149646,0.001880110132363474,0.0004052191601162645,-0.0004052191601162645,weekend_oriented
Milwaukee Ave & The 606,41.913754,-87.6826658,5481.0,2613.0,8094.0,0.0017704837965684722,0.002169336065274351,0.0018822030193382756,0.00039885226870587883,-0.00039885226870587883,weekend_oriented
Streeter Dr/Grand Ave,41.89240100000001,-87.612388,2231.0,1348.0,3579.0,0.0007206621693384896,0.001119121705315662,0.0008322713869794525,0.00039845953597717246,-0.00039845953597717246,weekend_oriented
Wilton Ave & Addison St,41.947459,-87.653216,2591.0,1476.0,4067.0,0.0008369501034316569,0.0012253884547818376,0.0009457523696131414,0.0003884383513501807,-0.0003884383513501807,weekend_oriented
Clarendon Ave & Leland Ave,41.967968,-87.65000100000002,4555.0,2237.0,6792.0,0.0014713653883177142,0.00185717748871746,0.0015794320369836383,0.0003858121003997457,-0.0003858121003997457,weekend_oriented
Clarendon Ave & Gordon Ter,41.95786652415175,-87.64950513839722,9174.0,4034.0,13208.0,0.0029634041871408803,0.003349063026144941,0.003071427907020008,0.00038565883900406077,-0.00038565883900406077,weekend_oriented
Clark St & Bryn Mawr Ave,41.983593,-87.669154,5008.0,2410.0,7418.0,0.0016176943720516163,0.002000803642292838,0.0017250039532309524,0.00038310927024122173,-0.00038310927024122173,weekend_oriented
Sheffield Ave & Webster Ave,41.92154,-87.653818,9245.0,4057.0,13302.0,0.002986338751920366,0.0033681578326896448,0.003093286948756825,0.0003818190807692787,-0.0003818190807692787,weekend_oriented
Clark St & Arlington Pl,41.926939727841415,-87.64147979309305,2656.0,1493.0,4149.0,0.0008579465359762566,0.001239502007445314,0.0009648208953835564,0.0003815554714690575,-0.0003815554714690575,weekend_oriented
Clark St & Elm St,41.90301732164141,-87.63152289470456,20810.0,8555.0,29365.0,0.0067220886346633655,0.007102437825649473,0.0068286251127833535,0.00038034919098610745,-0.00038034919098610745,weekend_oriented
Wabash Ave & Wacker Pl,41.886875,-87.62603,7312.0,3298.0,10610.0,0.002361937150247887,0.0027380292167144315,0.002467281200293934,0.00037609206646654425,-0.00037609206646654425,weekend_oriented
Michigan Ave & Ida B Wells Dr,41.876203,-87.624464,4459.0,2173.0,6632.0,0.0014403552725595363,0.0018040441139843722,0.0015422251574316091,0.00036368884142483587,-0.00036368884142483587,weekend_oriented
Ritchie Ct & Banks St,41.906866,-87.626217,7454.0,3335.0,10789.0,0.002407806279806859,0.002768746948981998,0.002508906396792767,0.00036094066917513904,-0.00036094066917513904,weekend_oriented
Delano Ct & Roosevelt Rd,41.867491,-87.63219,3837.0,1926.0,5763.0,0.001239435564209675,0.0015989824958738614,0.0013401452928646508,0.0003595469316641864,-0.0003595469316641864,weekend_oriented
Sedgwick St & Webster Ave,41.922167,-87.638888,8097.0,3571.0,11668.0,0.0026155094509788214,0.002964676268310259,0.002713311691331727,0.0003491668173314375,-0.0003491668173314375,weekend_oriented
Broadway & Oakdale Ave,41.93558083163717,-87.64404965678466,2627.0,1441.0,4068.0,0.0008485788968409737,0.0011963311404746802,0.0009459849126103417,0.0003477522436337065,-0.0003477522436337065,weekend_oriented
63rd St Beach,41.78091096424803,-87.57632374763489,585.0,639.0,1224.0,0.00018896789290139687,0.0005305035383506736,0.00028463262857302316,0.0003415356454492767,-0.0003415356454492767,weekend_oriented
Broadway & Ridge Ave,41.9840446107,-87.6602738295,3227.0,1664.0,4891.0,0.0010423921203295858,0.0013814677430602832,0.0011373677993060916,0.0003390756227306974,-0.0003390756227306974,weekend_oriented
Damen Ave & Division St,41.903266,-87.678435,5618.0,2572.0,8190.0,0.0018147378159317053,0.0021352974970859665,0.0019045271470694931,0.00032055968115426124,-0.00032055968115426124,weekend_oriented
Broadway & Argyle St,41.97423,-87.65977350000001,4270.0,2046.0,6316.0,0.0013793041071606233,0.001698607573498401,0.0014687415703163514,0.0003193034663377778,-0.0003193034663377778,weekend_oriented
Southport Ave & Wrightwood Ave,41.92877300000001,-87.663913,6030.0,2725.0,8755.0,0.0019478228960605525,0.0022623194710572544,0.002035913940487596,0.000314496574996702,-0.000314496574996702,weekend_oriented
Lincoln Ave & Fullerton Ave,41.924161029067626,-87.64638036489487,11652.0,4908.0,16560.0,0.0037638528001488485,0.004074665674843671,0.003850912033635019,0.0003108128746948228,-0.0003108128746948228,weekend_oriented
Fort Dearborn Dr & 31st St,41.83855595291223,-87.60821812148446,786.0,661.0,1447.0,0.00025389532277008195,0.0005487681359151726,0.00033648971694866383,0.00029487281314509065,-0.00029487281314509065,weekend_oriented
Wabash Ave & Grand Ave,41.891466,-87.62676099999999,15575.0,6413.0,21988.0,0.0050310682597252245,0.00532413019005144,0.005113155422437609,0.0002930619303262152,-0.0002930619303262152,weekend_oriented
California Ave & Division St,41.903029,-87.697474,2337.0,1253.0,3590.0,0.0007549025054881444,0.0010402518521962349,0.0008348293599486545,0.00028534934670809047,-0.00028534934670809047,weekend_oriented
Southport Ave & Belmont Ave,41.93947775040509,-87.6637476682663,6075.0,2700.0,8775.0,0.001962358887822198,0.002241564246552142,0.0020405648004316,0.000279205358729944,-0.000279205358729944,weekend_oriented
California Ave & Francis Pl,41.91849116331977,-87.69742283132375,2655.0,1364.0,4019.0,0.0008576235139371089,0.001132405048998934,0.0009345903057475328,0.0002747815350618251,-0.0002747815350618251,weekend_oriented
