condition_type,condition_value,day_type,rank_in_group,end_station_name,return_count,return_share,total_returns_in_group,end_lat,end_lng
cold,cold,weekend,10,Wells St & Huron St,509,0.006304732884941722,80733,41.89478399980203,-87.6343724037867
cold,cold,weekend,11,Wabash Ave & Grand Ave,499,0.006180867798793554,80733,41.891466,-87.62676099999999
cold,cold,weekend,12,Desplaines St & Kinzie St,498,0.006168481290178737,80733,41.888716036,-87.6444478533
cold,cold,weekend,13,Dearborn St & Erie St,483,0.0059826836609564865,80733,41.893992,-87.629318
cold,cold,weekend,14,Blackstone Ave & 59th St,452,0.005598701893897167,80733,41.787877,-87.590461
cold,cold,weekend,15,Clinton St & Madison St,452,0.005598701893897167,80733,41.88275006331282,-87.64119022354309
cold,cold,weekend,16,New St & Illinois St,449,0.005561542368052717,80733,41.89084704062381,-87.61861681938171
cold,cold,weekend,17,Halsted St & Clybourn Ave,449,0.005561542368052717,80733,41.909668,-87.648128
cold,cold,weekend,18,Wilton Ave & Belmont Ave,433,0.005363358230215649,80733,41.940231918108594,-87.65294373035431
cold,cold,weekend,19,Wells St & Hubbard St,431,0.005338585212986016,80733,41.889906,-87.634266
cold,cold,weekend,20,Clark St & Wrightwood Ave,416,0.005152787583763765,80733,41.929546,-87.643118
cold,mild,weekday,1,Kingsbury St & Kinzie St,27620,0.009807089368078314,2816330,41.889172621529056,-87.63849963502554
cold,mild,weekday,2,Clinton St & Washington Blvd,25033,0.008888518035883579,2816330,41.883378993326986,-87.64117008864396
cold,mild,weekday,3,Canal St & Madison St,22816,0.008101323353442247,2816330,41.882409,-87.639767
cold,mild,weekday,4,Clinton St & Madison St,21771,0.007730273085895474,2816330,41.88275006331282,-87.64119022354309
cold,mild,weekday,5,Michigan Ave & Oak St,20566,0.007302411294131015,2816330,41.90096039009614,-87.62377663865593
cold,mild,weekday,6,DuSable Lake Shore Dr & Monroe St,20322,0.007215773719699041,2816330,41.880958,-87.616743
cold,mild,weekday,7,DuSable Lake Shore Dr & North Blvd,19401,0.006888752383420977,2816330,41.911722,-87.626804
cold,mild,weekday,8,Clark St & Elm St,18852,0.0066938178409490364,2816330,41.90301732164141,-87.63152289470456
cold,mild,weekday,9,Navy Pier,18819,0.006682100464079139,2816330,41.892278,-87.612043
